latitude,longitude,
47.55635,7.65352,"{ lat: 49.31616,  lng: 8.5579 },"
47.55561,7.65374,"{ lat: 49.31616,  lng: 8.5579 },"
47.55506,7.64918,"{ lat: 49.31616,  lng: 8.5579 },"
47.55637,7.64619,"{ lat: 49.31616,  lng: 8.5579 },"
47.55579,7.6446,"{ lat: 49.31616,  lng: 8.5579 },"
47.5584,7.64268,"{ lat: 49.31616,  lng: 8.5579 },"
47.56209,7.63597,"{ lat: 49.31616,  lng: 8.5579 },"
47.56289,7.62917,"{ lat: 49.31616,  lng: 8.5579 },"
47.56215,7.62475,"{ lat: 49.31616,  lng: 8.5579 },"
47.56759,7.62006,"{ lat: 49.31616,  lng: 8.5579 },"
47.57143,7.61548,"{ lat: 49.31616,  lng: 8.5579 },"
47.57291,7.60999,"{ lat: 49.31616,  lng: 8.5579 },"
47.57279,7.60649,"{ lat: 49.31616,  lng: 8.5579 },"
47.57378,7.60268,"{ lat: 49.31616,  lng: 8.5579 },"
47.57714,7.59664,"{ lat: 49.31616,  lng: 8.5579 },"
47.58143,7.59329,"{ lat: 49.31616,  lng: 8.5579 },"
47.58454,7.59392,"{ lat: 49.31616,  lng: 8.5579 },"
47.5879,7.59268,"{ lat: 49.31616,  lng: 8.5579 },"
47.59394,7.59424,"{ lat: 49.31616,  lng: 8.5579 },"
47.59496,7.59636,"{ lat: 49.31616,  lng: 8.5579 },"
47.59871,7.59726,"{ lat: 49.31616,  lng: 8.5579 },"
47.59935,7.59871,"{ lat: 49.31616,  lng: 8.5579 },"
47.60899,7.59105,"{ lat: 49.31616,  lng: 8.5579 },"
47.61704,7.57699,"{ lat: 49.31616,  lng: 8.5579 },"
47.61924,7.57781,"{ lat: 49.31616,  lng: 8.5579 },"
47.62025,7.57706,"{ lat: 49.31616,  lng: 8.5579 },"
47.61895,7.56883,"{ lat: 49.31616,  lng: 8.5579 },"
47.6402,7.54181,"{ lat: 49.31616,  lng: 8.5579 },"
47.6525,7.52816,"{ lat: 49.31616,  lng: 8.5579 },"
47.65368,7.5262,"{ lat: 49.31616,  lng: 8.5579 },"
47.65284,7.52414,"{ lat: 49.31616,  lng: 8.5579 },"
47.65588,7.5206,"{ lat: 49.31616,  lng: 8.5579 },"
47.65499,7.5179,"{ lat: 49.31616,  lng: 8.5579 },"
47.65947,7.51214,"{ lat: 49.31616,  lng: 8.5579 },"
